大分類,商品ID,売上
"バッグ",9901315,496
"バッグ",9910347,744
"食品",9920031,651
"バッグ",9937877,4795
"食品",9900560,21426
"化粧品",9900876,5194
"化粧品",9913097,22411
"食品",9900675,37782
"化粧品",9901147,318896
"食品",9900866,9131
"食品",9901248,51725
"化粧品",9905337,20431
"バッグ",9911899,4531
"化粧品",9937882,26220
"化粧品",9916952,18880
"化粧品",9904333,33762
"バッグ",9900286,52033
"化粧品",9906412,19580
"化粧品",9907564,34760
"化粧品",9900898,9990
"化粧品",9902487,4290
"バッグ",9901658,4724
"化粧品",9903818,225000
"バッグ",9901926,10140
"バッグ",9901224,1267050
"食品",9901778,148350
"食品",9901774,21800
"化粧品",9904183,1312
"食品",9917165,6520
"化粧品",9911772,17400
"化粧品",9921403,386
"化粧品",9901068,6713
"化粧品",9907235,10270
"化粧品",9937891,1630
"化粧品",9910402,146080
"バッグ",9905475,25678
"化粧品",9918326,846
"化粧品",9904581,28260
"バッグ",9902621,47223
"食品",9902523,24300
"化粧品",9900607,1004615
"化粧品",9900430,236755
"化粧品",9922532,48600
"化粧品",9917789,290
"食品",9910791,2748
"食品",9904040,24933
"食品",9915099,8343
"化粧品",9920593,1402
"化粧品",9933015,21071
"化粧品",9937894,5624
"食品",9903548,43548
"食品",9903495,22781
"化粧品",9911343,16445
"化粧品",9905853,12104
"化粧品",9900175,13950
"バッグ",9908101,2940
"化粧品",9905842,70432
"化粧品",9903165,10814
"化粧品",9900391,17688
"バッグ",9915525,4680
"食品",9900808,148000
"化粧品",9906019,66272
"化粧品",9925190,4933
"化粧品",9928328,3189
"バッグ",9919768,22832
"バッグ",9909835,122606
"バッグ",9922266,202
"バッグ",9937897,4161
"バッグ",9907451,881
"食品",9900021,6046
"化粧品",9937899,142
"バッグ",9909772,1076
"バッグ",9909494,570
"バッグ",9909769,541
"食品",9904891,29484
"バッグ",9924497,293
"バッグ",9903965,989
"バッグ",9905975,384
"化粧品",9913435,4701
"バッグ",9900852,5411
"化粧品",9902670,4140
"バッグ",9900854,12460
"食品",9907449,2173
"食品",9916493,1944
"食品",9904541,2468
"食品",9907448,3839
"食品",9929900,1461
"化粧品",9911182,4920
"食品",9931265,1420
"化粧品",9908394,7583
"化粧品",9903093,30859
"化粧品",9931746,670
"食品",9913845,2004
"化粧品",9900807,9419
"食品",9912285,3267
"化粧品",9904386,24250
"化粧品",9933640,5059
"化粧品",9937904,372
"化粧品",9937902,286
"化粧品",9937900,233
"化粧品",9932150,329
"化粧品",9937903,210
"化粧品",9937901,193
"バッグ",9927049,36542
"バッグ",9924744,58220
"化粧品",9902900,4047
"バッグ",9902975,35408
"化粧品",9900403,59823
"化粧品",9900324,3402
"食品",9900884,13846
"食品",9901521,162518
"食品",9913548,16671
"化粧品",9900220,286980
"バッグ",9916405,14396
"バッグ",9921826,10096
"化粧品",9901083,389938
"化粧品",9918709,18124
"化粧品",9901945,10268
"化粧品",9904264,3320
"化粧品",9904214,3748
"化粧品",9913490,1496
"化粧品",9902492,4692
"化粧品",9905059,7372
"食品",9911019,94334
"化粧品",9902787,5277
"化粧品",9908411,1076
"化粧品",9908403,8900
"化粧品",9908402,538
"食品",9902321,99150
"化粧品",9907651,26180
"食品",9902239,3867
"バッグ",9901423,124023
"化粧品",9900221,6201
"食品",9900230,74728
"化粧品",9900491,6433
"化粧品",9903190,2200
"化粧品",9901057,11000
"化粧品",9916192,3016
"化粧品",9900769,63680
"化粧品",9902895,4943
"化粧品",9902896,7028
"化粧品",9900181,10606
"化粧品",9903004,67104
"化粧品",9904791,54446
"化粧品",9902588,56757
"化粧品",9900326,32116
"食品",9907603,4000
"バッグ",9908207,32940
"化粧品",9918177,6980
"食品",9906714,121580
"バッグ",9903802,147248
"バッグ",9907551,1384
"化粧品",9902528,67368
"食品",9937934,749
"食品",9922845,862
"化粧品",9937939,665
"化粧品",9937937,1168
"化粧品",9935849,1476
"化粧品",9937938,1502
"化粧品",9937940,1234
"化粧品",9904358,2138
"化粧品",9901954,978
"バッグ",9905387,37131
"バッグ",9905388,46326
"化粧品",9937941,3570
"化粧品",9937943,1166
"化粧品",9937944,1470
"化粧品",9937945,1757
"化粧品",9900523,18000
"化粧品",9902781,30000
"化粧品",9927175,2160
"化粧品",9937066,4320
"化粧品",9915590,6720
"化粧品",9915591,4560
"化粧品",9931179,3662
"食品",9904772,3480
"バッグ",9937947,8449
"バッグ",9937949,16898
"食品",9934306,8273
"バッグ",9937951,14098
"食品",9937948,7723
"バッグ",9916246,11669
"バッグ",9913656,8403
"バッグ",9909834,22453
"化粧品",9937952,2843
"食品",9937950,4225
"化粧品",9934011,2320
"バッグ",9905299,1333
"食品",9906768,15468
"食品",9909049,26778
"食品",9909695,10860
"化粧品",9906881,46506
"化粧品",9902668,52239
"食品",9902659,17081
"化粧品",9937953,1140
"化粧品",9905754,5616
"化粧品",9900952,12528
"バッグ",9900263,18053
"化粧品",9902977,25887
"バッグ",9903481,1368
"バッグ",9903482,1368
"バッグ",9938001,1216
"化粧品",9901443,29670
"バッグ",9903063,37313
"バッグ",9910433,59430
"化粧品",9901194,423120
"化粧品",9925713,6175
"化粧品",9937151,3600
"化粧品",9934401,10325
"化粧品",9932909,7633
"化粧品",9924441,10325
"化粧品",9903662,23400
"化粧品",9914168,13320
"化粧品",9921123,3960
"化粧品",9909222,813
"化粧品",9910984,7979
"食品",9938007,13630
"化粧品",9911061,24750
"化粧品",9905057,3950
"化粧品",9910659,38300
"化粧品",9907537,34843
"化粧品",9900524,44993
"化粧品",9904281,90
"化粧品",9902967,21075
"化粧品",9904690,12675
"食品",9900867,12915
"食品",9900870,1664
"バッグ",9919566,11600
"バッグ",9919088,12800
"バッグ",9910244,1544
"化粧品",9918826,82320
"バッグ",9900559,24871
"バッグ",9906097,2592
"バッグ",9904845,5838
"食品",9905179,156234
"化粧品",9908140,18222
"化粧品",9900904,8604
"食品",9914153,6131
"食品",9900405,18222
"食品",9902553,20846
"化粧品",9901663,1976
"化粧品",9909225,14210
"化粧品",9910130,12016
"バッグ",9901625,1200
"バッグ",9900376,1911784
"化粧品",9906308,11900
"化粧品",9913439,9224
"化粧品",9915084,38078
"化粧品",9916276,5027
"化粧品",9904101,50426
"化粧品",9904673,59249
"化粧品",9900117,35949
"バッグ",9902328,15073
"バッグ",9902302,32328
"バッグ",9902304,15791
"化粧品",9901424,490175
"バッグ",9902270,18536
"バッグ",9902296,11510
"バッグ",9902298,4631
"バッグ",9902301,7802
"バッグ",9938027,3563
"バッグ",9902276,88872
"バッグ",9938026,5106
"バッグ",9902282,5938
"化粧品",9902333,32726
"化粧品",9902595,198
"化粧品",9911404,7744
"バッグ",9936420,4384
"バッグ",9938028,7947
"化粧品",9901082,30695
"化粧品",9901011,243183
"バッグ",9932660,19500
"化粧品",9905590,27280
"食品",9924618,562
"化粧品",9906691,65700
"食品",9927329,89400
"食品",9908884,158
"食品",9902639,296
"食品",9906239,746
"食品",9908567,351
"食品",9915212,12611
"食品",9911328,7155
"食品",9911344,3802
"食品",9907228,113
"食品",9918977,32527
"化粧品",9917976,15920
"バッグ",9908599,1035
"食品",9912409,1500
"化粧品",9906171,1737
"化粧品",9938030,345
"化粧品",9908851,2830
"化粧品",9924158,4980
"化粧品",9900398,22708
"化粧品",9900609,1420
"化粧品",9901786,78735
"バッグ",9901811,18956
"化粧品",9908711,79200
"バッグ",9930291,4677
"化粧品",9905743,32840
"化粧品",9908034,940
"食品",9900742,119776
"化粧品",9900787,445
"食品",9900176,1705
"化粧品",9907346,1480
"化粧品",9901529,1140
"化粧品",9937277,12870
"化粧品",9905338,7043
"化粧品",9919578,830
"化粧品",9910001,7866
"化粧品",9933231,8330
"化粧品",9900082,1290
"化粧品",9910212,10890
"化粧品",9900078,159365
"食品",9900022,18559
"化粧品",9917587,6563
"化粧品",9908651,196660
"化粧品",9900737,15125
"化粧品",9906021,126370
"食品",9901081,134135
"化粧品",9918228,29600
"バッグ",9906753,6656
"化粧品",9905800,700
"バッグ",9901718,115844
"バッグ",9900749,5498
"化粧品",9904085,18870
"バッグ",9901586,2870
"食品",9938049,466
"バッグ",9907966,1664
"バッグ",9900748,5290
"バッグ",9906536,1275
"化粧品",9919407,1726
"化粧品",9938050,11115
"化粧品",9900875,4787
"食品",9912054,735
"バッグ",9901925,11704
"バッグ",9922733,8676
"バッグ",9901932,5776
"化粧品",9900761,11616
"食品",9901933,1556
"バッグ",9910514,10355
"化粧品",9938051,10030
"食品",9900566,234
"食品",9906092,133
"食品",9920783,114
"食品",9910091,143
"化粧品",9915144,2036
"化粧品",9915145,2036
"化粧品",9915146,2036
"食品",9914962,2805
"バッグ",9903292,129250
"バッグ",9933958,102460
"化粧品",9900948,37760
"化粧品",9905458,171226
"バッグ",9900422,39243
"化粧品",9909650,86305
"バッグ",9900149,5297
"食品",9906153,14378
"バッグ",9908433,317086
"化粧品",9907991,85965
"化粧品",9901780,139505
"化粧品",9901239,6530
"食品",9922358,9107
"化粧品",9911775,306
"食品",9908162,17500
"食品",9901041,89916
"化粧品",9907361,6841
"バッグ",9913455,28386
"化粧品",9900222,4662
"食品",9902923,119214
"食品",9904376,42311
"化粧品",9938080,1121
"食品",9903485,56388
"化粧品",9918291,11340
"化粧品",9908215,991
"化粧品",9902483,13122
"バッグ",9907165,8378
"化粧品",9906795,15136
"化粧品",9909204,16142
"化粧品",9906796,20754
"化粧品",9915515,20804
"化粧品",9902874,16512
"バッグ",9908708,37165
"化粧品",9906182,11530
"化粧品",9904577,5673
"食品",9902289,27856
"化粧品",9902928,6220
"化粧品",9929269,29534
"化粧品",9917639,28163
"化粧品",9916316,10530
"化粧品",9902954,6524
"食品",9912177,9898
"化粧品",9938084,2200
"化粧品",9900880,46463
"化粧品",9916322,6830
"バッグ",9904133,51824
"化粧品",9901047,10422
"食品",9903437,10263
"化粧品",9912199,17452
"バッグ",9902246,220
"化粧品",9913828,3670
"化粧品",9905263,5802
"化粧品",9921046,1250
"化粧品",9922378,5000
"化粧品",9938090,1268
"化粧品",9905540,5909
"食品",9902968,12395
"化粧品",9912683,4680
"食品",9916407,46255
"バッグ",9900663,28275
"食品",9908662,8116
"バッグ",9902940,37949
"バッグ",9907149,4074
"化粧品",9902307,21122
"化粧品",9900603,100336
"化粧品",9901046,95377
"化粧品",9901256,183611
"食品",9903410,22904
"食品",9909843,7168
"バッグ",9903894,8379
"バッグ",9938097,8721
"バッグ",9910172,34652
"バッグ",9916904,7363
"バッグ",9922036,15116
"食品",9938096,1840
"化粧品",9904633,11000
"食品",9938095,19152
"食品",9913738,8762
"食品",9913741,14426
"食品",9918622,2912
"化粧品",9938098,4456
"食品",9912085,1148
"食品",9914462,3053
"食品",9929557,1920
"食品",9925845,2181
"食品",9903293,133136
"化粧品",9904632,4290
"バッグ",9916190,15247
"バッグ",9904052,27262
"食品",9918624,4878
"化粧品",9900707,245520
"化粧品",9911717,155922
"化粧品",9900183,2923
"化粧品",9910288,27500
"化粧品",9904111,19180
"化粧品",9938101,3200
"化粧品",9905536,20100
"食品",9912648,5682
"化粧品",9911813,6600
"化粧品",9904273,105600
"化粧品",9901598,3256
"化粧品",9901437,89260
"化粧品",9904724,40022
"化粧品",9914036,55361
"バッグ",9903967,530
"化粧品",9908633,113
"化粧品",9921632,114
"バッグ",9903966,2256
"バッグ",9913060,792
"化粧品",9907546,10575
"化粧品",9916847,8385
"化粧品",9934082,3515
"化粧品",9902679,16094
"化粧品",9901981,17063
"化粧品",9904827,86436
"化粧品",9908190,1486
"化粧品",9900829,106477
"化粧品",9901085,2185
"化粧品",9909335,4944
"化粧品",9900796,516
"バッグ",9904049,18743
"食品",9902748,4734
"食品",9921607,2176
"化粧品",9920072,2250
"バッグ",9911630,13338
"食品",9925762,1632
"バッグ",9919870,17612
"バッグ",9931996,4860
"食品",9938106,78
"化粧品",9938109,3990
"バッグ",9918341,25597
"バッグ",9934464,4305
"化粧品",9903623,16678
"化粧品",9902513,2838
"食品",9931948,3546
"化粧品",9909282,4112
"食品",9901779,30478
"化粧品",9906017,8800
"バッグ",9903143,20969
"食品",9916450,15596
"化粧品",9900942,33366
"化粧品",9905056,5608
"化粧品",9903815,37244
"化粧品",9902873,8360
"化粧品",9905223,19368
"化粧品",9903816,14010
"化粧品",9903814,18622
"化粧品",9903812,11704
"食品",9914681,8572
"食品",9902719,12932
"食品",9903079,67230
"化粧品",9903417,132899
"化粧品",9925254,229680
"化粧品",9903976,12165
"食品",9903595,53660
"化粧品",9903974,24568
"化粧品",9908480,1440
"化粧品",9902689,2402
"化粧品",9903289,2065
"化粧品",9904825,16340
"バッグ",9905142,1605
"バッグ",9906281,20948
"化粧品",9917467,32000
"化粧品",9909396,112
"バッグ",9930573,1040
"バッグ",9911338,1125
"バッグ",9915277,1385
"バッグ",9915284,3220
"バッグ",9914220,1862
"バッグ",9900678,484
"バッグ",9936247,1887
"バッグ",9900681,514
"バッグ",9900665,1504
"食品",9916937,2194
"食品",9913588,2203
"バッグ",9907767,8901
"食品",9925672,5676
"食品",9919812,3176
"食品",9904220,3985
"バッグ",9917061,9341
"バッグ",9914310,3860
"化粧品",9917627,17486
"バッグ",9900847,10624
"食品",9916088,10551
"化粧品",9903819,225600
"食品",9904952,17627
"化粧品",9905201,26304
"バッグ",9914901,9128
"化粧品",9926544,11940
"化粧品",9902131,660
"化粧品",9925373,18600
"化粧品",9910744,370
"化粧品",9906016,11000
"食品",9903532,8852
"化粧品",9904571,360
"化粧品",9909367,1080
"食品",9936956,1653
"食品",9907007,6378
"食品",9926101,412
"化粧品",9900900,4973
"食品",9916086,6534
"化粧品",9938128,830
"食品",9906371,5932
"化粧品",9904293,16159
"食品",9907145,858
"食品",9908701,55585
"化粧品",9910127,21880
"バッグ",9938126,300
"食品",9912663,18772
"化粧品",9924964,6439
"化粧品",9919305,7960
"化粧品",9921368,5100
"化粧品",9906821,33060
"化粧品",9901591,3796
"化粧品",9910815,3920
"化粧品",9911821,6490
"化粧品",9909559,288
"化粧品",9908405,30778
"化粧品",9902309,357740
"化粧品",9910128,11501
"化粧品",9902697,4118
"バッグ",9904291,1900
"バッグ",9906864,1000
"バッグ",9906867,9805
"化粧品",9915741,15980
"化粧品",9913756,5480
"化粧品",9938131,2700
"化粧品",9938130,2261
"食品",9902663,32914
"化粧品",9909553,6369
"バッグ",9909452,11378
"バッグ",9911918,13150
"化粧品",9911827,18470
"化粧品",9903463,39600
"食品",9901829,13254
"化粧品",9909284,740
"化粧品",9901754,711
"化粧品",9902235,88203
"化粧品",9903739,8671
"化粧品",9902978,5726
"化粧品",9904881,8620
"化粧品",9904113,6976
"食品",9900605,4708
"バッグ",9904041,85643
"化粧品",9908398,2967
"バッグ",9916758,84854
"バッグ",9915594,58889
"バッグ",9902420,21109
"化粧品",9901967,23072
"食品",9905965,66482
"化粧品",9928989,7821
"化粧品",9910378,2280
"化粧品",9905543,14367
"化粧品",9902694,16057
"化粧品",9902334,40212
"バッグ",9906618,109463
"化粧品",9905066,3646
"化粧品",9924787,1160
"化粧品",9900738,58576
"化粧品",9900706,585478
"化粧品",9937672,15800
"化粧品",9933663,3575
"バッグ",9924810,10650
"化粧品",9924924,24400
"バッグ",9903530,32909
"化粧品",9903664,1433
"バッグ",9934265,6450
"化粧品",9911859,2478
"化粧品",9902471,103754
"化粧品",9913961,10458
"バッグ",9901031,14220
"バッグ",9903801,8040
"化粧品",9906492,44220
"食品",9923318,4661
"化粧品",9909400,10208
"化粧品",9902932,132620
"化粧品",9905999,6780
"バッグ",9938146,400
"化粧品",9919841,23750
"化粧品",9902970,4320
"化粧品",9913258,1480
"バッグ",9904649,300
"食品",9910241,218
"化粧品",9906244,565
"バッグ",9904861,1607
"食品",9900688,43860
"化粧品",9906704,8321
"バッグ",9908200,61101
"化粧品",9904869,201
"化粧品",9932584,1289
"化粧品",9902664,7569
"化粧品",9905806,22764
"化粧品",9900093,42701
"化粧品",9938151,21375
"化粧品",9933323,17580
"化粧品",9911616,21681
"化粧品",9910967,8118
"化粧品",9901642,23086
"化粧品",9900901,3647
"化粧品",9901669,5183
"化粧品",9901668,3089
"化粧品",9901667,6230
"化粧品",9901674,5183
"化粧品",9922333,23076
"バッグ",9902346,48420
"化粧品",9938154,4500
"化粧品",9938153,4385
"化粧品",9938152,7092
"化粧品",9906793,42034
"食品",9904997,16618
"食品",9921217,21815
"化粧品",9900877,30295
"食品",9906100,249480
"バッグ",9902199,13705
"食品",9911389,25329
"化粧品",9914034,124740
"化粧品",9913929,30084
"食品",9933190,11400
"化粧品",9921540,2880
"化粧品",9913586,7305
"化粧品",9900019,1524
"化粧品",9907828,2320
"食品",9900565,15427
"バッグ",9925499,1000
"化粧品",9919367,677
"食品",9903179,15020
"化粧品",9910965,5670
"化粧品",9900276,56723
"化粧品",9900274,56685
"化粧品",9900279,62966
"バッグ",9922972,5421
"化粧品",9914688,12210
"化粧品",9904310,20580
"化粧品",9906284,105
"バッグ",9905021,46870
"化粧品",9913355,48502
"化粧品",9906403,5125
"化粧品",9914596,15675
"化粧品",9906341,2660
"化粧品",9906339,4432
"化粧品",9916315,6195
"化粧品",9900971,6094
"化粧品",9908088,9360
"化粧品",9908081,13500
"化粧品",9914142,11000
"化粧品",9914637,18170
"化粧品",9923974,7470
"化粧品",9927016,4154
"化粧品",9907353,5940
"食品",9903651,2275
"バッグ",9904028,84164
"化粧品",9911837,46160
"食品",9900407,11502
"食品",9904256,82122
"化粧品",9904239,2301
"化粧品",9907556,19690
"食品",9904058,155655
"化粧品",9905041,3045
"化粧品",9906399,8564
"バッグ",9903145,22644
"化粧品",9904871,19440
"バッグ",9906081,64384
"バッグ",9914980,58297
"食品",9910568,758
"化粧品",9905996,179984
"バッグ",9911586,28813
"バッグ",9906488,36945
"化粧品",9916784,2110
"化粧品",9916785,3360
"化粧品",9938163,39600
"バッグ",9904805,161062
"食品",9913379,2720
"化粧品",9934490,47880
"バッグ",9901164,19584
"バッグ",9906852,1241
"バッグ",9903795,52169
"化粧品",9904572,1826
"食品",9905112,2011
"バッグ",9910741,17415
"食品",9905364,368
"食品",9907817,756
"化粧品",9917555,25000
"化粧品",9907563,103811
"化粧品",9903827,1375
"バッグ",9903731,29924
"バッグ",9903529,29088
"食品",9900578,26895
"化粧品",9912059,28018
"バッグ",9903612,12853
"化粧品",9903742,55250
"食品",9917379,1434
"食品",9901768,10690
"化粧品",9900692,15480
"化粧品",9938167,295
"化粧品",9902472,22240
"化粧品",9908641,75351
"化粧品",9925179,42538
"化粧品",9913746,8300
"バッグ",9909029,17600
"バッグ",9903432,13824
"化粧品",9904370,10734
"化粧品",9900648,884
"食品",9903154,5414
"食品",9901773,10508
"化粧品",9901803,5368
"化粧品",9905421,85913
"バッグ",9938183,300
"バッグ",9912865,875
"バッグ",9905166,488
"バッグ",9919132,246
"化粧品",9901688,10852
"化粧品",9901704,14835
"化粧品",9901801,10134
"化粧品",9901692,10838
"化粧品",9901465,20300
"化粧品",9901800,9296
"食品",9906674,127296
"バッグ",9901740,92441
"バッグ",9910872,800
"化粧品",9916887,169282
"食品",9912098,21534
"食品",9908689,4582
"化粧品",9900319,9527
"化粧品",9909739,1230
"食品",9938184,179990
"化粧品",9904266,4586
"バッグ",9908597,94180
"化粧品",9902658,2760
"化粧品",9921126,960
"食品",9900223,84914
"化粧品",9904683,1500
"食品",9906664,2790
"化粧品",9907195,5800
"食品",9923818,984
"化粧品",9914752,18200
"化粧品",9922025,7448
"化粧品",9901069,1010
"化粧品",9901269,1785
"化粧品",9913943,1319
"化粧品",9910446,1400
"化粧品",9904583,17284
"化粧品",9924231,4161
"化粧品",9906683,11600
"バッグ",9900387,1304
"食品",9903716,10856
"バッグ",9921777,27695
"バッグ",9938185,10470
"バッグ",9938186,10470
"食品",9911822,6880
"食品",9903294,52855
"化粧品",9901464,90537
"食品",9908789,14430
"化粧品",9938195,12000
"化粧品",9931150,2282
"化粧品",9928169,1053
"化粧品",9907542,4762
"化粧品",9914764,7721
"化粧品",9918322,2250
"化粧品",9914280,1100
"化粧品",9905479,1288
"バッグ",9918821,780
"化粧品",9938194,1739
"化粧品",9918688,1987
"化粧品",9927023,14717
"化粧品",9914207,16930
"化粧品",9919439,5100
"化粧品",9905040,7280
"化粧品",9919438,3400
"化粧品",9912309,4923
"バッグ",9903522,3154
"化粧品",9901804,4026
"バッグ",9927697,1438
"食品",9905287,3669
"食品",9905347,5064
"バッグ",9900826,70493
"化粧品",9903272,211486
"化粧品",9938196,10440
"バッグ",9906865,12054
"化粧品",9905851,10731
"化粧品",9930786,15600
"化粧品",9923801,247275
"化粧品",9914285,65475
"化粧品",9902139,8063
"化粧品",9910336,16694
"バッグ",9923600,8653
"化粧品",9938206,2888
"化粧品",9905749,722
"化粧品",9938205,2166
"化粧品",9938207,2508
"化粧品",9904299,3842
"化粧品",9915400,12720
"化粧品",9900516,13851
"食品",9900600,956
"食品",9914845,18251
"化粧品",9910406,5295
"食品",9902698,13410
"食品",9903619,20635
"食品",9900795,29400
"化粧品",9938228,1723
"化粧品",9925914,3446
"バッグ",9919280,800
"化粧品",9919977,67890
"化粧品",9902480,30147
"食品",9909205,3467
"バッグ",9900488,1048
"化粧品",9902695,13855
"化粧品",9938233,1539
"バッグ",9929096,1170
"化粧品",9900569,1246
"バッグ",9910763,23621
"化粧品",9903938,16035
"化粧品",9908932,13756
"化粧品",9903937,20574
"化粧品",9904962,19422
"化粧品",9917778,11046
"化粧品",9902140,5435
"食品",9900229,435730
"バッグ",9919463,978
"バッグ",9903520,132729
"バッグ",9901076,286810
"バッグ",9903962,643
"化粧品",9901340,4561
"化粧品",9905054,2580
"食品",9901599,34493
"バッグ",9906446,922
"食品",9908069,18187
"食品",9909451,7090
"化粧品",9901647,38505
"バッグ",9927794,20216
"化粧品",9911947,20162
"バッグ",9902022,4461
"化粧品",9938238,1630
"化粧品",9927875,820
"化粧品",9936559,1110
"化粧品",9916719,21360
"化粧品",9900731,15417
"バッグ",9938241,4560
"バッグ",9938244,5130
"バッグ",9938242,4560
"バッグ",9938243,4788
"化粧品",9923048,12259
"バッグ",9906486,7738
"食品",9915142,23958
"食品",9921488,1625
"化粧品",9909385,16378
"化粧品",9909389,16905
"化粧品",9925302,4427
"食品",9909009,7010
"化粧品",9917414,14175
"化粧品",9904391,5344
"バッグ",9902643,10553
"化粧品",9910746,2327
"化粧品",9902702,157530
"化粧品",9900759,55231
"バッグ",9907177,88853
"バッグ",9900551,5340
"化粧品",9903416,55899
"食品",9902252,8085
"化粧品",9909973,25350
"バッグ",9912324,11711
"バッグ",9902750,23436
"化粧品",9910505,1372
"化粧品",9901240,7284
"化粧品",9902772,2814
"化粧品",9913491,8428
"化粧品",9924594,2306
"化粧品",9923338,899
"化粧品",9932578,682
"化粧品",9920756,7388
"バッグ",9922357,3190
"バッグ",9922356,1642
"化粧品",9904298,17097
"化粧品",9929750,6000
"化粧品",9902500,20966
"化粧品",9907203,23084
"食品",9938254,6540
"食品",9920550,1938
"化粧品",9917640,8580
"化粧品",9920210,5460
"化粧品",9921613,6462
"化粧品",9908178,2554
"食品",9900882,12036
"化粧品",9916783,1120
"食品",9907192,23079
"食品",9901263,482
"食品",9908147,40970
"バッグ",9902281,63666
"化粧品",9915751,560
"化粧品",9909975,4091
"化粧品",9918776,877
"化粧品",9910676,4602
"化粧品",9918780,1571
"化粧品",9911493,877
"化粧品",9904307,1710
"化粧品",9908527,1080
"食品",9905527,3400
"化粧品",9938256,2300
"食品",9917504,2311
"化粧品",9917911,9859
"化粧品",9912186,8263
"化粧品",9903543,20656
"バッグ",9917276,19031
"バッグ",9923146,29313
"食品",9902786,31892
"化粧品",9904762,26220
"食品",9911766,17370
"食品",9902649,32827
"バッグ",9916157,172616
"化粧品",9900953,44148
"化粧品",9904806,1230
"化粧品",9919763,5316
"化粧品",9922433,4500
"化粧品",9922946,1022
"化粧品",9922432,3478
"化粧品",9909103,158
"食品",9904047,1721
"化粧品",9902596,12213
"化粧品",9900447,13644
"バッグ",9902272,390250
"化粧品",9910249,1440
"化粧品",9910251,720
"化粧品",9902897,4706
"化粧品",9910246,720
"化粧品",9903706,3600
"化粧品",9923807,1228
"化粧品",9922430,3478
"化粧品",9914890,4645
"化粧品",9937513,1228
"化粧品",9922077,2395
"化粧品",9919161,1875
"化粧品",9917755,4011
"化粧品",9902680,10560
"食品",9901267,27177
"化粧品",9938262,1228
"化粧品",9929324,3417
"化粧品",9906123,3544
"化粧品",9937453,984
"化粧品",9938268,1057
"化粧品",9908024,792
"化粧品",9900282,248414
"バッグ",9927767,3024
"化粧品",9925564,56700
"食品",9905593,26885
"化粧品",9901245,5106
"食品",9908370,47888
"化粧品",9908891,68257
"化粧品",9938296,835
"食品",9901444,1984
"化粧品",9923578,170
"バッグ",9906652,102928
"食品",9911214,17820
"化粧品",9918672,260
"化粧品",9913459,16188
"化粧品",9914859,3295
"化粧品",9907191,858
"化粧品",9909060,2486
"食品",9906504,12822
